company,symbol,fye,name,cash,equity,other,total,change,age,gender,rank,mug,sup
Anchor Bancorp,,,Jerald L. Shaw,295006,824000,68543,1187549,2.391437082,70,M,59,,
Northwest Pipe,,,Scott J. Montross,612813,496877,28254,1137944,0.80587621,52,M,60,,
CUI Global,,,William J. Clough,1093189,0,24801,1117990,0.161886055,65,M,61,,
Nautilus,,,Bruce M. Cazenave,589619,494986,9275,1093880,-0.239846952,62,M,62,,
Marchex,,,Ethan A. Caldwell,275875,814200,0,1090075,n/a,48,M,63,,
Craft Brew Alliance,,,Andrew J. Thomas,682704,404148,0,1086852,0.045487295,49,M,64,,
Heritage Financial,,,Brian L. Vance,712190,130047,234230,1076467,0.011038645,62,M,65,,
Aptevo Therapeutics,,,Marvin L. White,461203,385761,123125,970089,n/a,55,M,66,,
Pendrell,,,Lee E. Mikles,256000,628550,30,884580,-0.895376089,61,M,67,,
Pope Resources,,,Thomas M. Ringo,508827,317675,24491,850993,0.262891318,63,M,68,,
U.S. Geothermal,,,Dennis J. Gilles,473961,357179,2110,833250,0.060419408,58,M,69,,
MicroVision,,,Alexander Y. Tokman,542109,243161,7622,792892,-0.165869418,55,M,70,,
BSQUARE,,,Jerry D. Chase,582588,172850,5817,761255,-0.270718174,57,M,71,,
Trupanion,,,Darryl Rawlings,445500,314645,0,760145,0.375019219,47,M,72,,
Pacific Continental,,,Roger S. Busse,506683,190104,32774,729561,-0.195455448,61,M,73,,
FS Bancorp,,,Joseph C. Adams,656250,0,42991,699241,0.181240128,57,M,74,,
OncoGenex Pharmaceuticals,,,Scott D. Cormack,541383,155202,0,696585,-0.170234283,51,M,75,,
Zumiez,,,Richard M. Brooks,690100,0,0,690100,0.001121384,57,M,76,,
Data I/O,,,Anthony Ambrose,527625,129750,11661,669036,0.040808707,55,M,77,,
Willamette Valley Vineyards,,,James W. Bernau,612645,0,50806,663451,0.520121619,63,M,78,,
Papa Murphy's Holdings,,,Ken C. Calwell,515000,116243,27805,659048,-0.221705628,54,M,79,,
ClearSign Combustion,,,Stephen E. Pirnat,540000,82844,16740,639584,n/a,65,M,80,,
Digimarc,,,Bruce Davis,623333,0,13250,636583,0.039135956,64,M,81,,
eMagin,,,Andrew G. Sculley,436692,183015,0,619707,0.511480488,66,M,82,,
First Financial Northwest,,,Joseph W. Kiley III,541190,0,73132,614322,0.047321269,61,M,83,,
Radiant Logistics,,,Bohn H. Crain,492735,0,70958,563693,0.043742559,52,M,84,,
Sound Financial Bancorp,,,Laura L. Stewart,505194,0,49500,554694,-0.1184699,67,F,85,,
Apptio,,,Sachin Gupta,410192,0,2490,412682,-0.849149119,46,M,86,,
First Northwest Bancorp,,,Laurence J. Hueth,362434,0,40295,402729,0.33,53,M,87,,
Key Technology,,,John J. Ehren,311538,75516,12194,399248,0.079036983,56,M,88,,
Timberland Bancorp,,,Michael R. Sand,364051,7300,20582,391933,0.022819027,62,M,89,,
Intellicheck Mobilisa,,,William H. Roof,310750,61414,19025,391189,-0.499775583,63,M,90,,
CTI BioPharma,,,Richard L. Love,90000,266000,29829,385829,n/a,73,M,91,,
Riverview Bancorp,,,Patrick Sheaffer,326781,0,41449,368230,-0.037017665,76,M,92,,
Onvia,,,Henry G. Riner,350000,0,1590,351590,0,66,M,93,,
IsoRay,,,Thomas C. LaVoy,98267,199440,33835,331542,n/a,56,M,94,,
Schmitt Industries,,,David M. Hudson,100678,0,0,100678,n/a,64,M,95,,
Jewett-Cameron Trading Company,,,Donald M. Boone,19240,0,6207,25447,-0.252811463,76,M,96,,
